Pedestrians (all),4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,sum,,,,
NS,32,30,40,39,39,39,35,32,27,30,34,,377,NS,,,
ES,12,4,8,10,5,12,7,7,6,4,4,,79,ES,,,
SS,27,46,28,17,25,39,24,36,31,39,27,,339,SS,,,
WS,9,5,16,2,5,5,9,3,10,8,5,,77,WS,,,
,,,,,,,,,,,,,872,sum,,,
Pedestrian (Older),4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,sum,,,,
NS,15,10,16,18,15,13,12,16,7,13,10,,145,,,,
ES,5,2,2,3,1,6,0,2,6,2,3,,32,,,,
SS,22,14,15,10,8,14,20,12,7,9,9,,140,,,,
WS,6,1,5,0,2,1,4,0,3,1,6,,29,,,,
,,,,,,,,,,,,,346,,,,
Cars,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,sum,,,,
NS,26,26,26,23,24,25,23,34,28,26,30,,291,NS,,from N,344
SS,18,13,39,25,14,13,24,29,26,27,22,,250,SS,,from S,294
ES,4,7,6,9,9,5,6,7,5,2,4,,64,ES,,from W,134
WS,6,8,6,8,5,5,5,4,2,2,4,,55,WS,,from E,122
NL,8,6,4,2,3,5,3,0,2,3,2,,38,NL,,sum,894
NR,0,2,0,0,0,1,4,3,2,2,1,,15,NR,,,
SR,4,4,4,3,3,2,1,0,1,1,0,,23,SR,,,
SL,0,0,0,1,0,1,8,3,4,2,2,,21,SL,,,
ER,1,7,4,4,2,2,2,2,1,2,2,,29,ER,,,
EL,5,2,1,1,3,5,2,3,2,3,2,,29,EL,,,
WL,10,4,2,5,8,4,1,4,3,1,5,,47,WL,,,
WR,2,6,1,,1,2,2,4,6,4,4,,32,WR,,,
,,,,,,,,,,,,,894,,,,
Bikes,4:00-4:05,4:05-4:10,4:10-4:15,4:15-4:20,4:20-4:25,4:25-4:30,4:30-4:35,4:35-4:40,4:40-4:45,4:45-4:50,4:50-4:55,4:55-5:00,sum,,,,
NS,4,8,11,9,9,3,3,7,5,7,4,,70,NS,,,
ES,0,1,1,2,0,1,2,3,4,3,2,,19,ES,,,
SS,4,4,6,3,3,6,6,17,12,13,10,,84,SS,,,
WS,2,1,1,1,2,3,2,3,2,3,3,,23,WS,,,
,,,,,,,,,,,,,196,sum,,,